Time,Value,is_anomaly
2024-06-05 17:31:08,73.49098,0
2024-06-05 17:31:13,88.49842,0
2024-06-05 17:31:18,79.27056,0
2024-06-05 17:31:23,69.68916,0
2024-06-05 17:31:28,95.19212,0
2024-06-05 17:31:33,89.92072,0
2024-06-05 17:31:38,70.80105,0
2024-06-05 17:31:43,77.07889,0
2024-06-05 17:31:48,68.24459,0
2024-06-05 17:31:53,59.73507,0
2024-06-05 17:31:58,69.51782,0
2024-06-05 17:32:03,68.93211,0
2024-06-05 17:32:08,61.38528,0
2024-06-05 17:32:13,81.8647,0
2024-06-05 17:32:18,83.40328,0
2024-06-05 17:32:23,81.6614,0
2024-06-05 17:32:28,83.10405,0
2024-06-05 17:32:33,83.10405,0
2024-06-05 17:32:38,63.69014,1
2024-06-05 17:32:43,81.53562,0
2024-06-05 17:32:48,77.88542,0
2024-06-05 17:32:54,66.14791,0
2024-06-05 17:32:59,81.12301,0
2024-06-05 17:33:04,78.8022,0
2024-06-05 17:33:09,78.01519,0
2024-06-05 17:33:14,81.23471,0
2024-06-05 17:33:19,79.03905,0
2024-06-05 17:33:24,78.6298,0
2024-06-05 17:33:29,81.96701,0
2024-06-05 17:33:34,64.84336,1
2024-06-05 17:33:39,58.35306,1
2024-06-05 17:33:44,81.28718,0
2024-06-05 17:33:49,81.65557,0
2024-06-05 17:33:54,61.9104,0
2024-06-05 17:33:59,80.78889,0
2024-06-05 17:34:04,80.42493,0
2024-06-05 17:34:09,66.77446,0
2024-06-05 17:34:14,78.5798,0
2024-06-05 17:34:19,66.86537,0
2024-06-05 17:34:24,59.41507,0
2024-06-05 17:34:29,81.42028,0
2024-06-05 17:34:34,65.9274,0
2024-06-05 17:34:39,60.50032,0
2024-06-05 17:34:44,81.8779,0
2024-06-05 17:34:49,69.03575,0
2024-06-05 17:34:54,63.40703,0
2024-06-05 17:34:59,86.15426,0
2024-06-05 17:35:04,86.20404,0
2024-06-05 17:35:09,85.52857,0
2024-06-05 17:35:14,85.44816,0
2024-06-05 17:35:19,85.44816,0
2024-06-05 17:35:24,83.44494,0
2024-06-05 17:35:29,85.98791,0
2024-06-05 17:35:34,85.06558,0
2024-06-05 17:35:39,85.06558,0
2024-06-05 17:35:44,81.58705,0
2024-06-05 17:35:49,81.58705,0
2024-06-05 17:35:54,81.58705,0
2024-06-05 17:35:59,63.28399,1
2024-06-05 17:36:04,69.01794,0
2024-06-05 17:36:09,80.29863,0
2024-06-05 17:36:14,81.84104,0
2024-06-05 17:36:19,80.67629,0
2024-06-05 17:36:24,54.69665,1
2024-06-05 17:36:29,89.14503,1
2024-06-05 17:36:34,78.76839,0
2024-06-05 17:36:39,68.5735,0
2024-06-05 17:36:44,86.53154,0
2024-06-05 17:36:49,86.53154,0
2024-06-05 17:36:54,86.16782,0
2024-06-05 17:36:59,69.78984,0
2024-06-05 17:37:04,63.60087,0
2024-06-05 17:37:09,58.61093,0
2024-06-05 17:37:14,87.19336,0
2024-06-05 17:37:19,90.01262,0
2024-06-05 17:37:24,66.93666,0
2024-06-05 17:37:29,90.14056,0
2024-06-05 17:37:34,90.14056,0
2024-06-05 17:37:39,70.75322,0
2024-06-05 17:37:44,88.22527,0
2024-06-05 17:37:49,84.67719,0
2024-06-05 17:37:54,72.02169,0
2024-06-05 17:37:59,88.51663,0
2024-06-05 17:38:04,75.6531,0
2024-06-05 17:38:09,69.48829,0
2024-06-05 17:38:14,89.33767,0
2024-06-05 17:38:19,78.63506,0
2024-06-05 17:38:24,72.03543,0
2024-06-05 17:38:29,90.37278,0
2024-06-05 17:38:34,72.78998,0
2024-06-05 17:38:39,69.1371,0
2024-06-05 17:38:44,88.59232,0
2024-06-05 17:38:49,87.11366,0
2024-06-05 17:38:54,87.66538,0
2024-06-05 17:38:59,87.66538,0
2024-06-05 17:39:04,84.10432,0
2024-06-05 17:39:09,61.75329,1
2024-06-05 17:39:14,85.11304,1
2024-06-05 17:39:19,85.42562,0
2024-06-05 17:39:24,85.02962,0
2024-06-05 17:39:29,86.64928,0
2024-06-05 17:39:34,86.64928,0
2024-06-05 17:39:39,86.64928,0
2024-06-05 17:39:44,62.893,1
2024-06-05 17:39:49,52.70356,1
2024-06-05 17:39:54,64.28381,0
2024-06-05 17:39:59,88.08767,0
2024-06-05 17:40:04,67.74447,0
2024-06-05 17:40:09,60.39355,0
2024-06-05 17:40:14,86.93331,0
2024-06-05 17:40:19,71.15271,0
2024-06-05 17:40:24,61.65126,0
2024-06-05 17:40:29,85.2584,0
2024-06-05 17:40:34,68.1066,0
2024-06-05 17:40:40,60.98042,0
2024-06-05 17:40:45,72.16955,0
2024-06-05 17:40:50,66.85557,0
2024-06-05 17:40:55,59.58086,0
2024-06-05 17:41:00,86.2186,0
2024-06-05 17:41:05,70.66481,0
2024-06-05 17:41:10,63.32407,0
2024-06-05 17:41:15,86.47207,0
2024-06-05 17:41:20,83.49272,0
2024-06-05 17:41:25,82.38055,0
2024-06-05 17:41:30,88.16627,0
2024-06-05 17:41:35,85.34249,0
2024-06-05 17:41:40,63.64011,0
2024-06-05 17:41:45,86.32878,1
2024-06-05 17:41:50,87.45466,0
2024-06-05 17:41:55,68.55154,0
2024-06-05 17:42:00,86.39416,0
2024-06-05 17:42:05,86.39416,0
2024-06-05 17:42:10,86.39416,0
2024-06-05 17:42:15,87.50435,0
2024-06-05 17:42:20,85.03708,0
2024-06-05 17:42:25,83.62753,0
2024-06-05 17:42:30,73.40921,1
2024-06-05 17:42:35,84.65137,0
2024-06-05 17:42:40,83.56671,0
2024-06-05 17:42:45,84.57437,0
2024-06-05 17:42:50,80.1736,0
2024-06-05 17:42:55,79.1387,0
2024-06-05 17:43:00,83.5454,0
2024-06-05 17:43:05,83.5454,0
2024-06-05 17:43:10,80.39402,0
2024-06-05 17:43:15,81.67197,0
2024-06-05 17:43:20,64.52458,1
2024-06-05 17:43:25,46.49591,1
2024-06-05 17:43:30,82.9183,0
2024-06-05 17:43:35,67.54952,0
2024-06-05 17:43:40,61.70112,0
2024-06-05 17:43:45,80.93041,0
2024-06-05 17:43:50,77.17554,0
2024-06-05 17:43:55,77.17554,0
2024-06-05 17:44:00,83.13792,0
2024-06-05 17:44:05,83.13792,0
2024-06-05 17:44:10,60.85711,0
2024-06-05 17:44:15,64.77385,1
2024-06-05 17:44:20,56.06298,0
2024-06-05 17:44:25,63.13893,0
2024-06-05 17:44:30,84.06891,0
2024-06-05 17:44:35,65.97523,0
2024-06-05 17:44:40,60.06233,0
2024-06-05 17:44:45,71.73008,0
2024-06-05 17:44:50,64.58194,0
2024-06-05 17:44:55,57.37216,0
2024-06-05 17:45:00,85.97983,1
2024-06-05 17:45:05,83.38692,0
2024-06-05 17:45:10,63.69338,0
2024-06-05 17:45:15,90.38038,0
2024-06-05 17:45:20,87.43091,0
2024-06-05 17:45:25,86.15255,0
2024-06-05 17:45:30,91.47549,0
2024-06-05 17:45:35,88.34248,0
2024-06-05 17:45:40,86.95321,0
2024-06-05 17:45:45,87.55511,0
2024-06-05 17:45:50,84.02381,0
2024-06-05 17:45:55,82.90384,0
2024-06-05 17:46:00,88.3457,0
2024-06-05 17:46:05,85.49792,0
2024-06-05 17:46:10,84.22117,0
2024-06-05 17:46:15,87.5156,0
2024-06-05 17:46:20,77.28751,0
2024-06-05 17:46:25,55.20414,1
2024-06-05 17:46:30,76.84397,0
2024-06-05 17:46:35,68.60828,0
2024-06-05 17:46:40,60.03961,0
2024-06-05 17:46:45,86.9472,0
2024-06-05 17:46:50,73.03605,0
2024-06-05 17:46:55,66.17571,0
2024-06-05 17:47:00,87.56066,0
2024-06-05 17:47:05,84.6416,0
2024-06-05 17:47:10,69.5133,0
2024-06-05 17:47:15,88.20115,0
2024-06-05 17:47:20,86.63303,0
2024-06-05 17:47:25,85.50495,0
2024-06-05 17:47:30,88.17551,0
2024-06-05 17:47:35,87.9668,0
2024-06-05 17:47:40,71.86955,0
2024-06-05 17:47:45,88.76912,0
2024-06-05 17:47:50,55.65992,0
2024-06-05 17:47:55,62.02083,0
2024-06-05 17:48:00,84.46959,0
2024-06-05 17:48:05,68.13679,0
2024-06-05 17:48:10,59.98852,0
2024-06-05 17:48:15,83.9988,0
2024-06-05 17:48:20,69.93125,0
2024-06-05 17:48:25,63.19702,0
2024-06-05 17:48:30,87.89427,0
2024-06-05 17:48:35,86.60278,0
2024-06-05 17:48:40,68.04624,0
2024-06-05 17:48:45,82.53033,0
2024-06-05 17:48:50,80.39942,0
2024-06-05 17:48:55,64.92484,0
2024-06-05 17:49:00,85.15,0
2024-06-05 17:49:06,82.30488,0
2024-06-05 17:49:11,65.21359,0
2024-06-05 17:49:16,85.20309,0
2024-06-05 17:49:21,72.73708,0
2024-06-05 17:49:26,66.53976,0
2024-06-05 17:49:31,84.53354,0
2024-06-05 17:49:36,86.1053,0
2024-06-05 17:49:41,70.63361,0
2024-06-05 17:49:46,86.12472,0
2024-06-05 17:49:51,86.13175,0
2024-06-05 17:49:56,70.80037,0
2024-06-05 17:50:01,85.44441,0
2024-06-05 17:50:06,85.2842,0
2024-06-05 17:50:11,85.14476,0
2024-06-05 17:50:16,68.09961,0
2024-06-05 17:50:21,61.60386,0
2024-06-05 17:50:26,53.33748,1
2024-06-05 17:50:31,83.65942,0
2024-06-05 17:50:36,68.12178,0
2024-06-05 17:50:41,62.7854,0
2024-06-05 17:50:46,81.06873,0
2024-06-05 17:50:51,81.06873,0
2024-06-05 17:50:56,58.3505,0
2024-06-05 17:51:01,83.05371,0
