Timestamp,Value,anomaly
2024-06-04 18:14:51,0.00503,0
2024-06-04 18:14:56,0.00399,0
2024-06-04 18:15:01,0.06813,0
2024-06-04 18:15:06,0.07311,0
2024-06-04 18:15:11,0.0803,0
2024-06-04 18:15:16,0.19881,0
2024-06-04 18:15:21,0.27554,0
2024-06-04 18:15:26,0.28095,0
2024-06-04 18:15:31,0.28561,0
2024-06-04 18:15:36,0.29,0
2024-06-04 18:15:41,0.23686,0
2024-06-04 18:15:46,0.21809,0
2024-06-04 18:15:51,0.18944,0
2024-06-04 18:15:56,0.22089,0
2024-06-04 18:16:01,0.29942,0
2024-06-04 18:16:06,0.25322,0
2024-06-04 18:16:11,0.23026,0
2024-06-04 18:16:16,0.29993,0
2024-06-04 18:16:21,0.29993,0
2024-06-04 18:16:26,0.23871,0
2024-06-04 18:16:31,0.29943,0
2024-06-04 18:16:36,0.29957,0
2024-06-04 18:16:41,0.2334,0
2024-06-04 18:16:46,0.29842,0
2024-06-04 18:16:51,0.19363,0
2024-06-04 18:16:56,0.20984,0
2024-06-04 18:17:01,0.18157,0
2024-06-04 18:17:06,0.10267,0
2024-06-04 18:17:11,0.11338,0
2024-06-04 18:17:16,0.08109,0
2024-06-04 18:17:21,0.01889,0
2024-06-04 18:17:26,0.01889,0
2024-06-04 18:17:31,0.01514,0
2024-06-04 18:17:36,0.0032,0
2024-06-04 18:17:41,0.0032,0
2024-06-04 18:17:46,0.00168,0
2024-06-04 18:17:51,0.00189,0
2024-06-04 18:17:56,0.00243,0
2024-06-04 18:18:01,0.00196,0
2024-06-04 18:18:06,0.00176,0
2024-06-04 18:18:11,0.00156,0
2024-06-04 18:18:16,0.0026,0
2024-06-04 18:18:21,0.0026,0
2024-06-04 18:18:26,0.00216,0
2024-06-04 18:18:31,0.00289,0
2024-06-04 18:18:36,0.00289,0
2024-06-04 18:18:41,0.00289,0
2024-06-04 18:18:46,0.07116,0
2024-06-04 18:18:51,0.07116,0
2024-06-04 18:18:56,0.07116,0
2024-06-04 18:19:01,0.12806,0
2024-06-04 18:19:06,0.15316,0
2024-06-04 18:19:11,0.15316,0
2024-06-04 18:19:16,0.28091,0
2024-06-04 18:19:21,0.28091,0
2024-06-04 18:19:26,0.235,0
2024-06-04 18:19:31,0.29879,0
2024-06-04 18:19:36,0.24996,0
2024-06-04 18:19:41,0.22742,0
2024-06-04 18:19:46,0.25672,0
2024-06-04 18:19:51,0.16183,0
2024-06-04 18:19:56,0.16183,0
2024-06-04 18:20:01,0.29991,0
2024-06-04 18:20:06,0.29991,0
2024-06-04 18:20:11,0.29954,0
2024-06-04 18:20:16,0.29927,0
2024-06-04 18:20:21,0.2996,0
2024-06-04 18:20:26,0.2996,0
2024-06-04 18:20:31,0.21758,0
2024-06-04 18:20:36,0.24254,0
2024-06-04 18:20:41,0.29878,0
2024-06-04 18:20:46,0.29914,0
2024-06-04 18:20:51,0.29914,0
2024-06-04 18:20:56,0.29939,0
2024-06-04 18:21:01,0.29958,0
2024-06-04 18:21:06,0.29958,0
2024-06-04 18:21:11,0.24953,0
2024-06-04 18:21:16,0.22445,0
2024-06-04 18:21:21,0.19941,0
2024-06-04 18:21:26,0.17403,0
2024-06-04 18:21:31,0.29563,0
2024-06-04 18:21:36,0.29563,0
2024-06-04 18:21:41,0.29368,0
2024-06-04 18:21:46,0.29368,0
2024-06-04 18:21:51,0.29368,0
